ACCESSION: MycoMSB-HZI-003119
RECORD_TITLE: Bis-Heimiomycin C; timsTOF; MS2; CE:38.51162790697674; [M+H-H2O]+
DATE: 2026.06.26
AUTHORS: Charrià-Girón E, Surup F
LICENSE: CC BY
COPYRIGHT: Helmholtz Centre for Infection Research (HZI)
PUBLICATION: doi:10.1021/acs.jnatprod.2c01015
COMMENT: Converted from Bruker MetaboScape .library export
CH$NAME: Bis-Heimiomycin C
CH$COMPOUND_CLASS: Terpenoids
CH$FORMULA: C36H42O9
CH$EXACT_MASS: 618.2829
CH$SMILES: CC(C)C1(CCC(C)(C2=C1C(=C(CO)C(=C2O)O)C3=C(C(C=4C5=C(COC4C3=O)C(=C(C=6C(C)(CCC(C(C)C)(C65)[H])[H])O)O)=O)O)[H])[H]
CH$IUPAC: InChI=1S/C36H42O9/c1-13(2)17-9-7-15(5)21-23(17)25(19(11-37)29(38)31(21)40)27-33(42)34(43)28-26-20(12-45-36(28)35(27)44)30(39)32(41)22-16(6)8-10-18(14(3)4)24(22)26/h13-18,37-42H,7-12H2,1-6H3
CH$LINK: INCHIKEY PSLHJDRJKOPNCG-WNRNVDISSA-N
SP$SCIENTIFIC_NAME: Heimiomyces sp.
AC$INSTRUMENT: timsTOF Pro, Bruker Daltonics
AC$INSTRUMENT_TYPE: TIMS-TOF
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$MASS_SPECTROMETRY: COLLISION_ENERGY 38.51162790697674
AC$MASS_SPECTROMETRY: CCS 226.35589599609375
MS$FOCUSED_ION: BASE_PEAK 601.27959
MS$FOCUSED_ION: PRECURSOR_M/Z 601.27959
MS$FOCUSED_ION: PRECURSOR_TYPE [M+H-H2O]+
MS$DATA_PROCESSING: Converted with library_to_massbank.py
PK$SPLASH: splash10-0udi-0093384000-62ca7fd48bcfd2228f4f
PK$NUM_PEAK: 158
PK$PEAK: m/z int. rel.int.
  155.09103 0.0519731 52
  163.04071 0.012512 12
  167.09215 0.0640038 64
  170.07155 0.0510106 51
